# Temps	MSD_moyen	Sim_0	Sim_1	Sim_2	Sim_3	Sim_4	Sim_5	Sim_6	Sim_7	Sim_8	Sim_9	Sim_10	Sim_11	Sim_12	Sim_13	Sim_14	Sim_15	Sim_16	Sim_17	Sim_18	Sim_19
5.480000e+02	8.542250e-01	2.812605e-01	1.958336e-01	6.400497e-01	9.889133e-01	1.282782e-01	7.989411e-02	8.944814e-01	9.927101e-02	1.435329e+00	4.079277e+00	2.845523e-01	6.132339e-01	9.838783e-02	4.755535e-01	1.446483e+00	2.854227e+00	1.260659e+00	3.184395e-01	8.811725e-01	2.920476e-02
5.490000e+02	8.558368e-01	2.824609e-01	1.947406e-01	6.427141e-01	9.912937e-01	1.288157e-01	8.097525e-02	8.980310e-01	1.003779e-01	1.437656e+00	4.079056e+00	2.831388e-01	6.153980e-01	9.704274e-02	4.761527e-01	1.454463e+00	2.853380e+00	1.266181e+00	3.206239e-01	8.850274e-01	2.920842e-02
5.500000e+02	8.577885e-01	2.837429e-01	1.939712e-01	6.470570e-01	9.934199e-01	1.293473e-01	8.204607e-02	8.997689e-01	1.018147e-01	1.442962e+00	4.082268e+00	2.822800e-01	6.182122e-01	9.609710e-02	4.750384e-01	1.460608e+00	2.855045e+00	1.271984e+00	3.229337e-01	8.881173e-01	2.905688e-02
5.510000e+02	8.598018e-01	2.850294e-01	1.937517e-01	6.512847e-01	9.958394e-01	1.293020e-01	8.344921e-02	9.011356e-01	1.037446e-01	1.450411e+00	4.085676e+00	2.816571e-01	6.231687e-01	9.576348e-02	4.739935e-01	1.464046e+00	2.859359e+00	1.276649e+00	3.249597e-01	8.879819e-01	2.883255e-02
5.520000e+02	8.614609e-01	2.867585e-01	1.933757e-01	6.546249e-01	9.963615e-01	1.279062e-01	8.529280e-02	9.034076e-01	1.062890e-01	1.458949e+00	4.085645e+00	2.805716e-01	6.273076e-01	9.566188e-02	4.739489e-01	1.465861e+00	2.863799e+00	1.280329e+00	3.279495e-01	8.865764e-01	2.860277e-02
5.530000e+02	8.624141e-01	2.883102e-01	1.925949e-01	6.578223e-01	9.965061e-01	1.262715e-01	8.701946e-02	9.047808e-01	1.088550e-01	1.465055e+00	4.083957e+00	2.798843e-01	6.293457e-01	9.570924e-02	4.748539e-01	1.464880e+00	2.865158e+00	1.283438e+00	3.310572e-01	8.845428e-01	2.824053e-02
5.540000e+02	8.627209e-01	2.900654e-01	1.911003e-01	6.604031e-01	9.967764e-01	1.247822e-01	8.754342e-02	9.054187e-01	1.109202e-01	1.468552e+00	4.079771e+00	2.800919e-01	6.291229e-01	9.604115e-02	4.772228e-01	1.462035e+00	2.863514e+00	1.288617e+00	3.325689e-01	8.819768e-01	2.789355e-02
5.550000e+02	8.631657e-01	2.923754e-01	1.888017e-01	6.625567e-01	9.969130e-01	1.232865e-01	8.751344e-02	9.079622e-01	1.127547e-01	1.471477e+00	4.074142e+00	2.806781e-01	6.265774e-01	9.659007e-02	4.812277e-01	1.461372e+00	2.861772e+00	1.294880e+00	3.332725e-01	8.813927e-01	2.776871e-02
5.560000e+02	8.637448e-01	2.943402e-01	1.865208e-01	6.659730e-01	9.958446e-01	1.225906e-01	8.752815e-02	9.109331e-01	1.147621e-01	1.473578e+00	4.070080e+00	2.811559e-01	6.222713e-01	9.723472e-02	4.861347e-01	1.463201e+00	2.858621e+00	1.301226e+00	3.335172e-01	8.817917e-01	2.759226e-02
5.570000e+02	8.642702e-01	2.960187e-01	1.838153e-01	6.701242e-01	9.931595e-01	1.229370e-01	8.701290e-02	9.128479e-01	1.169545e-01	1.475812e+00	4.069761e+00	2.819751e-01	6.179113e-01	9.760223e-02	4.908136e-01	1.463474e+00	2.855024e+00	1.307961e+00	3.329602e-01	8.818246e-01	2.741527e-02
5.580000e+02	8.649844e-01	2.975215e-01	1.807651e-01	6.744780e-01	9.900096e-01	1.233633e-01	8.632554e-02	9.152206e-01	1.194663e-01	1.478275e+00	4.073527e+00	2.836451e-01	6.132819e-01	9.754027e-02	4.934303e-01	1.463105e+00	2.854041e+00	1.314605e+00	3.318646e-01	8.820219e-01	2.720021e-02
